Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ЕСТЬ ЛОКАЛЬНО,PNG,2 КБ,2417,assets/favicons/favicon-16x16.png,src/assets/favicons/favicon-16x16.png
ЕСТЬ ЛОКАЛЬНО,PNG,2 КБ,2417,assets/favicons/favicon-32x32.png,src/assets/favicons/favicon-32x32.png
ЕСТЬ ЛОКАЛЬНО,PNG,2 КБ,2417,assets/favicons/favicon.png,src/assets/favicons/favicon.png
ЕСТЬ ЛОКАЛЬНО,JPG,85 КБ,87427,assets/images/director-photo.jpg,src/assets/images/director-photo.jpg
ЕСТЬ ЛОКАЛЬНО,PNG,28 КБ,28998,assets/images/gerb-red1.png,src/assets/images/gerb-red1.png
ЕСТЬ ЛОКАЛЬНО,PNG,484 КБ,495666,assets/images/logo.png,src/assets/images/logo.png
ЕСТЬ ЛОКАЛЬНО,JPG,925 КБ,947756,assets/images/news/ix-chteniya.jpg,src/assets/images/news/ix-chteniya.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,85 КБ,87148,assets/images/news/kulich-konkurs.jpg,src/assets/images/news/kulich-konkurs.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,87 КБ,89925,assets/images/news/master-goda.jpg,src/assets/images/news/master-goda.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,331 КБ,339294,assets/images/news/olimpiada-avtomatika.jpg,src/assets/images/news/olimpiada-avtomatika.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,247 КБ,253557,assets/images/news/razgovory-o-vazhnom.jpg,src/assets/images/news/razgovory-o-vazhnom.jpg
ЕСТЬ ЛОКАЛЬНО,SVG,648 Б,648,assets/images/og-image.svg,src/assets/images/og-image.svg
ЕСТЬ ЛОКАЛЬНО,PNG,1010 КБ,1034625,assets/images/privetstvie-abiturientov-2026.png,src/assets/images/privetstvie-abiturientov-2026.png
ЕСТЬ ЛОКАЛЬНО,GIF,43 КБ,44706,assets/images/raspisanie-placeholder.gif,src/assets/images/raspisanie-placeholder.gif
ЕСТЬ ЛОКАЛЬНО,JPG,29 КБ,30043,assets/images/sliders/slider1.jpg,src/assets/images/sliders/slider1.jpg
ОТСУТСТВУЕТ ЛОКАЛЬНО,WOFF,176 КБ,180288,assets/mentor/vendor/bootstrap-icons/fonts/bootstrap-icons.woff,
ОТСУТСТВУЕТ ЛОКАЛЬНО,WOFF2,130 КБ,134044,assets/mentor/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2,
ЕСТЬ ЛОКАЛЬНО,JPG,90 КБ,92323,assets/template/about.jpg,src/assets/template/about.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,50 КБ,51602,assets/template/course-1.jpg,src/assets/template/course-1.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,88 КБ,90575,assets/template/course-2.jpg,src/assets/template/course-2.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,117 КБ,120248,assets/template/course-3.jpg,src/assets/template/course-3.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,216 КБ,221542,assets/template/hero-bg.jpg,src/assets/template/hero-bg.jpg
ЕСТЬ ЛОКАЛЬНО,PNG,1 МБ,1390251,assets/uploads/den-otkrytyh-dverej/den-otkrytyh-dverej-1.png,src/assets/uploads/den-otkrytyh-dverej/den-otkrytyh-dverej-1.png
ЕСТЬ ЛОКАЛЬНО,DOCX,20 КБ,20849,assets/uploads/dokumenty/Договор-о-практической-подготовке-обучающихся-2020.docx,src/assets/uploads/dokumenty/Договор-о-практической-подготовке-обучающихся-2020.docx
ЕСТЬ ЛОКАЛЬНО,DOC,104 КБ,107008,assets/uploads/dokumenty/Коллективный-договор-между-работниками-и-работодателем-на-2018-2020-гг..doc,src/assets/uploads/dokumenty/Коллективный-договор-между-работниками-и-работодателем-на-2018-2020-гг..doc
ЕСТЬ ЛОКАЛЬНО,PDF,1 МБ,1642586,assets/uploads/dokumenty/Отчет-об-исполнении-предписания-Ростобрнадзора-2015.pdf,src/assets/uploads/dokumenty/Отчет-об-исполнении-предписания-Ростобрнадзора-2015.pdf
ЕСТЬ ЛОКАЛЬНО,DOC,121 КБ,123904,assets/uploads/dokumenty/Отчет-по-исполнению-предписания-от-12.10.2018-№308-18.doc,src/assets/uploads/dokumenty/Отчет-по-исполнению-предписания-от-12.10.2018-№308-18.doc
ЕСТЬ ЛОКАЛЬНО,PDF,494 КБ,506538,assets/uploads/dokumenty/Письмо-от-Ростобрнадзора-о-снятии-с-контроля-2015.pdf,src/assets/uploads/dokumenty/Письмо-от-Ростобрнадзора-о-снятии-с-контроля-2015.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,233 КБ,239196,assets/uploads/dokumenty/Положение-о-платных-услугах-и-расходовании-средств-2019.pdf,src/assets/uploads/dokumenty/Положение-о-платных-услугах-и-расходовании-средств-2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,226 КБ,232376,assets/uploads/dokumenty/Положение-о-пользовании-библиотекой-Приложение-№41-к-приказу-ГБПОУ-РО-СИТ-№5-а-от-25.01.2019.pdf,src/assets/uploads/dokumenty/Положение-о-пользовании-библиотекой-Приложение-№41-к-приказу-ГБПОУ-РО-СИТ-№5-а-от-25.01.2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,262 КБ,269050,assets/uploads/dokumenty/Положение-об-оказании-дополнительных-платных-услугах-2019.pdf,src/assets/uploads/dokumenty/Положение-об-оказании-дополнительных-платных-услугах-2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,568 КБ,581795,assets/uploads/dokumenty/Предписание-Ростобрнадзора-об-устранении-выявленных-нарушений-2014.pdf,src/assets/uploads/dokumenty/Предписание-Ростобрнадзора-об-устранении-выявленных-нарушений-2014.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,793 КБ,812973,assets/uploads/dokumenty/Преписание-об-устранении-выявленных-нарушений-от-12.10.2018-№308-18.pdf,src/assets/uploads/dokumenty/Преписание-об-устранении-выявленных-нарушений-от-12.10.2018-№308-18.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,54 КБ,55906,assets/uploads/dokumenty/Приказ-об-утверждении-устава-2018.pdf,src/assets/uploads/dokumenty/Приказ-об-утверждении-устава-2018.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,109 КБ,112109,assets/uploads/dokumenty/Приказ-от-18.06.2019-№-1268-о-государственной-аккредитации.pdf,src/assets/uploads/dokumenty/Приказ-от-18.06.2019-№-1268-о-государственной-аккредитации.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,821 КБ,841011,assets/uploads/dokumenty/Приказ-№114-О-внесении-изменений-в-локальные-акты-об-утверждении-локальных-актов-в-новой-редакции-от-27.03.2020.pdf,src/assets/uploads/dokumenty/Приказ-№114-О-внесении-изменений-в-локальные-акты-об-утверждении-локальных-актов-в-новой-редакции-от-27.03.2020.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,578 КБ,592108,assets/uploads/dokumenty/Приказ-№885-О-практической-подготовке-обучающихся-5.08.2020.pdf,src/assets/uploads/dokumenty/Приказ-№885-О-практической-подготовке-обучающихся-5.08.2020.pdf
ЕСТЬ ЛОКАЛЬНО,DOC,62 КБ,63488,assets/uploads/dokumenty/Приложение-2-к-коллективному-договору.doc,src/assets/uploads/dokumenty/Приложение-2-к-коллективному-договору.doc
ЕСТЬ ЛОКАЛЬНО,DOC,32 КБ,33280,assets/uploads/dokumenty/Приложение-3-к-коллективному-договору.doc,src/assets/uploads/dokumenty/Приложение-3-к-коллективному-договору.doc
ЕСТЬ ЛОКАЛЬНО,DOC,749 КБ,766976,assets/uploads/dokumenty/Приложение-к-кол.договору-положение-по-оплате-труда-Работников-ГБПОУ-РО-СИТ-с-изменениями-2017-2018-г..doc,src/assets/uploads/dokumenty/Приложение-к-кол.договору-положение-по-оплате-труда-Работников-ГБПОУ-РО-СИТ-с-изменениями-2017-2018-г..doc
ЕСТЬ ЛОКАЛЬНО,PDF,156 КБ,160175,assets/uploads/dokumenty/Приложение-к-свидетельству-о-гос.аккредитации-18.06.2019.pdf,src/assets/uploads/dokumenty/Приложение-к-свидетельству-о-гос.аккредитации-18.06.2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,469 КБ,481263,assets/uploads/dokumenty/Свидетельство-о-государственной-аккредитации-от-18.06.2019.pdf,src/assets/uploads/dokumenty/Свидетельство-о-государственной-аккредитации-от-18.06.2019.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,28 КБ,29508,assets/uploads/dokumenty/Свидетельство-члена-Союза-работодателей.jpg,src/assets/uploads/dokumenty/Свидетельство-члена-Союза-работодателей.jpg
ЕСТЬ ЛОКАЛЬНО,PDF,5 МБ,5423267,assets/uploads/dokumenty/Устав-ГБПОУ-РО-СИТ-14.12.2018.pdf,src/assets/uploads/dokumenty/Устав-ГБПОУ-РО-СИТ-14.12.2018.pdf
ЕСТЬ ЛОКАЛЬНО,DOCX,17 КБ,18214,assets/uploads/employment/gotovimsya-k-sobesedovaniyu.docx,src/assets/uploads/employment/gotovimsya-k-sobesedovaniyu.docx
ЕСТЬ ЛОКАЛЬНО,PDF,366 КБ,375216,assets/uploads/employment/grafik-kursov-dpo-2025-2026.pdf,src/assets/uploads/employment/grafik-kursov-dpo-2025-2026.pdf
ЕСТЬ ЛОКАЛЬНО,DOCX,18 КБ,18606,assets/uploads/employment/individualnyy-plan-karyery.docx,src/assets/uploads/employment/individualnyy-plan-karyery.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,14 КБ,15356,assets/uploads/employment/informatsionnye-resursy-dlya-poiska-raboty.docx,src/assets/uploads/employment/informatsionnye-resursy-dlya-poiska-raboty.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,19 КБ,19680,assets/uploads/employment/kak-sostavit-avtobiografiyu.docx,src/assets/uploads/employment/kak-sostavit-avtobiografiyu.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,23 КБ,24252,assets/uploads/employment/kak-sostavit-karyernyy-plan.docx,src/assets/uploads/employment/kak-sostavit-karyernyy-plan.docx
ЕСТЬ ЛОКАЛЬНО,MP4,17 МБ,18364783,assets/uploads/employment/marshrutizatsiya-molodezhi-mintrud-rf.mp4,src/assets/uploads/employment/marshrutizatsiya-molodezhi-mintrud-rf.mp4
ЕСТЬ ЛОКАЛЬНО,DOCX,15 КБ,16127,assets/uploads/employment/metodika-poiska-raboty.docx,src/assets/uploads/employment/metodika-poiska-raboty.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,18 КБ,18480,assets/uploads/employment/obschaya-informatsiya.docx,src/assets/uploads/employment/obschaya-informatsiya.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,15 КБ,15970,assets/uploads/employment/pamyatka-individualnaya-karyernaya-traektoriya.docx,src/assets/uploads/employment/pamyatka-individualnaya-karyernaya-traektoriya.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,16 КБ,16510,assets/uploads/employment/pamyatka-pervaya-vstrecha.docx,src/assets/uploads/employment/pamyatka-pervaya-vstrecha.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,18 КБ,18511,assets/uploads/employment/pamyatka-po-trudoustroystvu.docx,src/assets/uploads/employment/pamyatka-po-trudoustroystvu.docx
ЕСТЬ ЛОКАЛЬНО,DOCX,13 КБ,14248,assets/uploads/employment/perechen-partnerov.docx,src/assets/uploads/employment/perechen-partnerov.docx
ЕСТЬ ЛОКАЛЬНО,PDF,4 МБ,4740617,assets/uploads/employment/polozhenie-o-tsentre-karyery-prikaz-89-2025.pdf,src/assets/uploads/employment/polozhenie-o-tsentre-karyery-prikaz-89-2025.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,207 КБ,212368,assets/uploads/employment/slayd1.jpg,src/assets/uploads/employment/slayd1.jpg
ЕСТЬ ЛОКАЛЬНО,PDF,4 МБ,4965705,assets/uploads/employment/soglashenie-s-tszn-salsk-2025.pdf,src/assets/uploads/employment/soglashenie-s-tszn-salsk-2025.pdf
ЕСТЬ ЛОКАЛЬНО,DOC,45 КБ,46592,assets/uploads/employment/sostavlyaem-rezyume.doc,src/assets/uploads/employment/sostavlyaem-rezyume.doc
ЕСТЬ ЛОКАЛЬНО,PDF,5 МБ,5690300,assets/uploads/employment/spisok-vakansiy.pdf,src/assets/uploads/employment/spisok-vakansiy.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,21 КБ,22489,assets/uploads/kontakty-grafik/Контакты-и-график-работы-2025.jpg,src/assets/uploads/kontakty-grafik/Контакты-и-график-работы-2025.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,143 КБ,147415,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-1.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-1.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,310 КБ,317645,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-2.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-2.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,290 КБ,297948,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-3.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-3.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,147 КБ,151343,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-4.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-4.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,142 КБ,145686,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-5.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-5.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,100 КБ,103070,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-6.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-6.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,234 КБ,240483,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-7.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-7.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,106 КБ,109205,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-8.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-8.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,108 КБ,110875,assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-9.jpg,src/assets/uploads/mezhdunarodnoe/международное-и-межрегиональное-сотрудничество-3-02-21-9.jpg
ЕСТЬ ЛОКАЛЬНО,DOCX,39 КБ,40875,assets/uploads/mto/biblioteka/13.01.10_Perechen-EOR.docx,src/assets/uploads/mto/biblioteka/13.01.10_Perechen-EOR.docx
ЕСТЬ ЛОКАЛЬНО,PDF,8 МБ,9074126,assets/uploads/mto/biblioteka/Dogovor-s-OOO-Izd-vo-LAN-04.03.2024.pdf,src/assets/uploads/mto/biblioteka/Dogovor-s-OOO-Izd-vo-LAN-04.03.2024.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,357 КБ,365877,assets/uploads/mto/biblioteka/Instruktsiya-dlya-prepodavateley-2023.pdf,src/assets/uploads/mto/biblioteka/Instruktsiya-dlya-prepodavateley-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,1 МБ,2080345,assets/uploads/mto/biblioteka/Instruktsiya-dlya-studentov-2023.pdf,src/assets/uploads/mto/biblioteka/Instruktsiya-dlya-studentov-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,5 МБ,6116977,assets/uploads/mto/biblioteka/Litsenzionnyy-dogovor-43-2025.pdf,src/assets/uploads/mto/biblioteka/Litsenzionnyy-dogovor-43-2025.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,251 КБ,257146,assets/uploads/mto/biblioteka/Litsenzionnyy-dogovor-s-kompaniey-YuRAYT-43-s-prilozheniyami-1-3-2025.pdf.pdf,src/assets/uploads/mto/biblioteka/Litsenzionnyy-dogovor-s-kompaniey-YuRAYT-43-s-prilozheniyami-1-3-2025.pdf.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,671 КБ,687339,assets/uploads/mto/biblioteka/Polozhenie-EOS-2023.pdf,src/assets/uploads/mto/biblioteka/Polozhenie-EOS-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,407 КБ,417642,assets/uploads/mto/biblioteka/Prilozhenie-1-2025.pdf,src/assets/uploads/mto/biblioteka/Prilozhenie-1-2025.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,710 КБ,727966,assets/uploads/mto/biblioteka/Prilozhenie-2-2025.pdf,src/assets/uploads/mto/biblioteka/Prilozhenie-2-2025.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,377 КБ,386163,assets/uploads/mto/biblioteka/Prilozhenie-3-2025.pdf,src/assets/uploads/mto/biblioteka/Prilozhenie-3-2025.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,392 КБ,401790,assets/uploads/mto/biblioteka/Rukovodstvo_mob_pril_LANY.pdf,src/assets/uploads/mto/biblioteka/Rukovodstvo_mob_pril_LANY.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,44 КБ,45480,assets/uploads/mto/biblioteka/tE_cnfy55SHKSlhy3iW-Z3oPXOg_uYVKHjQvNIJ_cY2plGgYjBuse1OkmjXFqRZt836vE878dVOoQx8xNGRSErj9.jpg,src/assets/uploads/mto/biblioteka/tE_cnfy55SHKSlhy3iW-Z3oPXOg_uYVKHjQvNIJ_cY2plGgYjBuse1OkmjXFqRZt836vE878dVOoQx8xNGRSErj9.jpg
ЕСТЬ ЛОКАЛЬНО,PDF,671 КБ,687339,assets/uploads/mto/eios-platform/Polozhenie-EOS-2023.pdf,src/assets/uploads/mto/eios-platform/Polozhenie-EOS-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PNG,105 КБ,107844,assets/uploads/mto/eios-platform/na_sajt3-e1713117795790.png,src/assets/uploads/mto/eios-platform/na_sajt3-e1713117795790.png
ЕСТЬ ЛОКАЛЬНО,PDF,671 КБ,687339,assets/uploads/mto/eios/Polozhenie-EOS-2023.pdf,src/assets/uploads/mto/eios/Polozhenie-EOS-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,179 КБ,183583,assets/uploads/mto/eor/08.01.07_perechen-EOR.pdf,src/assets/uploads/mto/eor/08.01.07_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,145 КБ,148558,assets/uploads/mto/eor/09.02.01_perechen-EOR.pdf,src/assets/uploads/mto/eor/09.02.01_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,DOCX,39 КБ,40875,assets/uploads/mto/eor/13.01.10_Perechen-EOR.docx,src/assets/uploads/mto/eor/13.01.10_Perechen-EOR.docx
ЕСТЬ ЛОКАЛЬНО,PDF,148 КБ,151737,assets/uploads/mto/eor/13.01.10_Perechen-EOR.pdf,src/assets/uploads/mto/eor/13.01.10_Perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,181 КБ,185496,assets/uploads/mto/eor/15.01.05_perechen-EOR.pdf,src/assets/uploads/mto/eor/15.01.05_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,226 КБ,232037,assets/uploads/mto/eor/15.02.07_perechen-EOR.pdf,src/assets/uploads/mto/eor/15.02.07_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,179 КБ,184249,assets/uploads/mto/eor/2yFPBzWyKxM.jpg,src/assets/uploads/mto/eor/2yFPBzWyKxM.jpg
ЕСТЬ ЛОКАЛЬНО,PDF,173 КБ,177201,assets/uploads/mto/eor/38.01.02_perechen-EOR.pdf,src/assets/uploads/mto/eor/38.01.02_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,153 КБ,157671,assets/uploads/mto/eor/38.02.01_perechen-EOR.pdf,src/assets/uploads/mto/eor/38.02.01_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,193 КБ,197688,assets/uploads/mto/eor/43.01.09_perechen-EOR.pdf,src/assets/uploads/mto/eor/43.01.09_perechen-EOR.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,442 КБ,452905,assets/uploads/mto/eor/Katalog-elektronnyh-resursov.pdf,src/assets/uploads/mto/eor/Katalog-elektronnyh-resursov.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,671 КБ,687339,assets/uploads/mto/eor/Polozhenie-EOS-2023.pdf,src/assets/uploads/mto/eor/Polozhenie-EOS-2023.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,230 КБ,236356,assets/uploads/mto/main/Dogovor-Rostelekom-internet.pdf,src/assets/uploads/mto/main/Dogovor-Rostelekom-internet.pdf
ЕСТЬ ЛОКАЛЬНО,JPG,118 КБ,121653,assets/uploads/mto/main/Kabinet-bezopasnosti-zhiznedeyatelnosti.jpg,src/assets/uploads/mto/main/Kabinet-bezopasnosti-zhiznedeyatelnosti.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,105 КБ,108448,assets/uploads/mto/main/Kabinet-ekonomiki-menedzhmenta-finansov-denezhnogo-obrashcheniya-i-kredita.jpg,src/assets/uploads/mto/main/Kabinet-ekonomiki-menedzhmenta-finansov-denezhnogo-obrashcheniya-i-kredita.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,116 КБ,119012,assets/uploads/mto/main/Kabinet-fiziki-i-elektrotehniki.jpg,src/assets/uploads/mto/main/Kabinet-fiziki-i-elektrotehniki.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,103 КБ,106119,assets/uploads/mto/main/Kabinet-himii-biologii.jpg,src/assets/uploads/mto/main/Kabinet-himii-biologii.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,113 КБ,116344,assets/uploads/mto/main/Kabinet-matematiki.jpg,src/assets/uploads/mto/main/Kabinet-matematiki.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,117 КБ,120093,assets/uploads/mto/main/Kabinet-obshchih-gumanitarnyh-i-sotsialnyh-distsiplin.jpg,src/assets/uploads/mto/main/Kabinet-obshchih-gumanitarnyh-i-sotsialnyh-distsiplin.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,109 КБ,112028,assets/uploads/mto/main/Kabinet-tehnologii-kulinarnogo-i-konditerskogo-proizvodstva.jpg,src/assets/uploads/mto/main/Kabinet-tehnologii-kulinarnogo-i-konditerskogo-proizvodstva.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,103 КБ,105859,assets/uploads/mto/main/Laboratoriya-buhgalterskogo-ucheta-nalogov-i-nalogooblozheniya-audita.jpg,src/assets/uploads/mto/main/Laboratoriya-buhgalterskogo-ucheta-nalogov-i-nalogooblozheniya-audita.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,98 КБ,100497,assets/uploads/mto/main/Laboratoriya-informatsionnyh-tehnologiy.jpg,src/assets/uploads/mto/main/Laboratoriya-informatsionnyh-tehnologiy.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,10 КБ,10724,assets/uploads/mto/main/MTO-2022-7.jpg,src/assets/uploads/mto/main/MTO-2022-7.jpg
ЕСТЬ ЛОКАЛЬНО,DOC,51 КБ,52736,assets/uploads/mto/main/Obespechenie-obrazovatelnogo-protsessa-korpusa-1.doc,src/assets/uploads/mto/main/Obespechenie-obrazovatelnogo-protsessa-korpusa-1.doc
ЕСТЬ ЛОКАЛЬНО,DOC,55 КБ,56832,assets/uploads/mto/main/Obespechenie-obrazovatelnogo-protsessa-korpusa-2.doc,src/assets/uploads/mto/main/Obespechenie-obrazovatelnogo-protsessa-korpusa-2.doc
ЕСТЬ ЛОКАЛЬНО,PDF,243 КБ,249567,assets/uploads/paid-services/dogovor-ob-obrazovanii-2024.pdf,src/assets/uploads/paid-services/dogovor-ob-obrazovanii-2024.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,733 КБ,750789,assets/uploads/paid-services/informatsiya-o-tsenah-2025-2026.pdf,src/assets/uploads/paid-services/informatsiya-o-tsenah-2025-2026.pdf
ЕСТЬ ЛОКАЛЬНО,DOCX,81 КБ,83214,assets/uploads/paid-services/obrazets-kvitantsii-dlya-oplaty.docx,src/assets/uploads/paid-services/obrazets-kvitantsii-dlya-oplaty.docx
ЕСТЬ ЛОКАЛЬНО,PDF,233 КБ,239196,assets/uploads/paid-services/polozhenie-o-platnyh-uslugah-2019.pdf,src/assets/uploads/paid-services/polozhenie-o-platnyh-uslugah-2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,262 КБ,269050,assets/uploads/paid-services/polozhenie-ob-okazanii-platnyh-uslug-dpp-2019.pdf,src/assets/uploads/paid-services/polozhenie-ob-okazanii-platnyh-uslug-dpp-2019.pdf
ЕСТЬ ЛОКАЛЬНО,PDF,1 МБ,1901055,assets/uploads/paid-services/prikaz-66-ot-01.07.2025-rashody-2025-2029.pdf,src/assets/uploads/paid-services/prikaz-66-ot-01.07.2025-rashody-2025-2029.pdf
ЕСТЬ ЛОКАЛЬНО,DOCX,42 КБ,43942,assets/uploads/praktika/mesta-prohozhdenija-praktiki-uchashhimisja-2024.docx,src/assets/uploads/praktika/mesta-prohozhdenija-praktiki-uchashhimisja-2024.docx
ЕСТЬ ЛОКАЛЬНО,JPG,299 КБ,307148,assets/uploads/rukovodstvo/barabash.jpg,src/assets/uploads/rukovodstvo/barabash.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,41 КБ,42459,assets/uploads/rukovodstvo/beznickaya.jpg,src/assets/uploads/rukovodstvo/beznickaya.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,129 КБ,132275,assets/uploads/rukovodstvo/korotya.jpg,src/assets/uploads/rukovodstvo/korotya.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,181 КБ,186120,assets/uploads/rukovodstvo/krasnokutskaya.jpg,src/assets/uploads/rukovodstvo/krasnokutskaya.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,16 КБ,16593,assets/uploads/rukovodstvo/lomaka.jpg,src/assets/uploads/rukovodstvo/lomaka.jpg
ЕСТЬ ЛОКАЛЬНО,JPEG,85 КБ,87427,assets/uploads/rukovodstvo/senchenko.jpeg,src/assets/uploads/rukovodstvo/senchenko.jpeg
ЕСТЬ ЛОКАЛЬНО,JPG,202 КБ,207569,assets/uploads/rukovodstvo/shelestyan.jpg,src/assets/uploads/rukovodstvo/shelestyan.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,21 КБ,22208,assets/uploads/rukovodstvo/yakimova.jpg,src/assets/uploads/rukovodstvo/yakimova.jpg
ЕСТЬ ЛОКАЛЬНО,JPG,11 КБ,11931,assets/uploads/rukovodstvo/yarovoy.jpg,src/assets/uploads/rukovodstvo/yarovoy.jpg
